,Unnamed: 0,Nom de l'établissement,Commune,CP,Région,Département,Categorie_filiere,activite,Cognitif,Physique,Sensoriel
1976,1976,Centre de vacances - Maison Familiale et Rurale,VERNINES,63210,Auvergne Rhône-Alpes,Puy-de-Dôme,Hébergement,Hébergement collectif;Village de vacances,True,True,True
1977,1977,Meublé Les Bleuets,BURNHAUPT-LE-HAUT,68520,Grand Est,Haut-Rhin,Hébergement,Meublé de tourisme,True,False,False
1978,1978,Restaurant A la Couronne,RIQUEWIHR,68340,Grand Est,Haut-Rhin,Restauration,Restaurant,True,False,False
1979,1979,Meublé La Grange,SURGERES,17700,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,False,False
1980,1980,Office de Tourisme de Gruissan,GRUISSAN,11430,Occitanie,Aude,Information touristique,Office de tourisme,True,True,True
1981,1981,Chambres d'Hôtes Hêtre et Pin - Le Pavillon de Beaumont,CROIX,59170,Hauts de France,Nord,Hébergement;Information touristique;Visite,Chambre d'hôtes;Lieu de visite;Office de tourisme;Partenaire de tourisme,True,False,False
1982,1982,Restaurant La Fermette,BEAUVOIR,50170,Normandie,Manche,Restauration,Restaurant,True,False,False
1983,1983,Historial franco-allemand de la Grande Guerre au Hartmannswillerkopf,WATTWILLER,68700,Grand Est,Haut-Rhin,Visite,Lieu de visite,True,True,True
1984,1984,La Saga du Rhum,SAINT-PIERRE,97432,Réunion,La Réunion,Visite,Lieu de visite,True,True,True
1985,1985,Les Chevrefeuilles,SAINT-FORT-SUR-GIRONDE,17240,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,False
1986,1986,Centre Pompidou Metz,METZ,57000,Grand Est,Moselle,Visite,Lieu de visite,True,True,True
1987,1987,Amboise et Vouvray de L'Orangerie de Beauregard,VILLEDOMER,37110,Centre - Val de Loire,Indre-et-Loire,Hébergement,Résidence de tourisme,True,True,True
1988,1988,Coopérative de Vannerie de Villaines les Rochers,VILLAINES-LES-ROCHERS,37190,Centre - Val de Loire,Indre-et-Loire,Visite,Visite d'entreprise,True,True,True
1989,1989,Camping Municipal LE LARMONT***,PONTARLIER,25300,Bourgogne Franche-Comté,Doubs,Hébergement,Camping,True,True,True
1990,1990,Hôtel du Futuroscope,JAUNAY-CLAN,86130,Nouvelle Aquitaine,Vienne,Hébergement,Hôtel,True,True,True
1991,1991,"Gîte de France n°G1624 ""La Ferme des Saules""",RICHEBOURG,62136,Hauts de France,Pas-de-Calais,Hébergement,Meublé de tourisme,True,True,True
1992,1992,SOMESPA - SAS GITE SEMILLON,SAINT-CYBARDEAUX,16170,Nouvelle Aquitaine,Charente,Hébergement;Loisir,Meublé de tourisme;Piscine,True,False,False
1993,1993,Hôtel du Chêne,ITXASSOU,64250,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
1994,1994,LE PETIT CHATEAU,MOUCHAMPS,85640,Pays de la Loire,Vendée,Hébergement,Chambre d'hôtes;Meublé de tourisme,True,True,False
1995,1995,Chambre d'hôtes - Les Glycines,SAINT-SULPICE,60430,Hauts de France,Oise,Hébergement,Chambre d'hôtes,True,True,False
1996,1996,Bureau d'Information Touristique de Jarnac,GONDEVILLE,16200,Nouvelle Aquitaine,Charente,Information touristique,Office de tourisme,True,True,False
1997,1997,Gite de groupe du Bouchelin n°G19811,AZAY-SUR-CHER,37270,Centre - Val de Loire,Indre-et-Loire,Hébergement,Hébergement collectif,True,True,True
1998,1998,Eveil et Partage,PUISSERGUIER,34620,Occitanie,Hérault,Hébergement,Hébergement collectif;Meublé de tourisme,True,True,True
1999,1999,Hôtel Marotte,AMIENS,80000,Hauts de France,Somme,Hébergement,Hôtel,True,True,True
2000,2000,Chambre d'Hôte la Marotte,BRECH,56400,Bretagne,Morbihan,Hébergement,Chambre d'hôtes,True,True,False
2001,2001,Manoir de Trouzilit Gîte Saint Vincent,TREGLONOU,29870,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
2002,2002,Chambre d'hôtes Les Bellyvières,FEINGS,41120,Centre - Val de Loire,Loir-et-Cher,Hébergement,Chambre d'hôtes,True,False,False
2003,2003,Gîte de groupe de Saint denis d'Authou,SAINT-DENIS-D'AUTHOU,28480,Centre - Val de Loire,Eure-et-Loir,Hébergement,Hébergement collectif,True,True,False
2004,2004,Hôtel Le Bon Coin,CLOYES-SUR-LE-LOIR,28220,Centre - Val de Loire,Eure-et-Loir,Hébergement,Hôtel,True,True,False
2005,2005,CIP du CNPE de Dampierre,OUZOUER-SUR-LOIRE,45570,Centre - Val de Loire,Loiret,Visite,Lieu de visite,True,True,True
2006,2006,Balancier Hydraulique,CHATEAUVIEUX,41110,Centre - Val de Loire,Loir-et-Cher,Visite,Lieu de visite,True,False,False
2007,2007,Gîte Les Roseaux,CHEVERNY,41700,Centre - Val de Loire,Loir-et-Cher,Hébergement,Meublé de tourisme,True,True,False
2008,2008,Meuble de tourisme Rêve de Sologne,SOUVIGNY-EN-SOLOGNE,41600,Centre - Val de Loire,Loir-et-Cher,Hébergement,Meublé de tourisme,True,True,False
2009,2009,VVF Villages Les Châteaux de la Loire,AMBOISE,37530,Centre - Val de Loire,Indre-et-Loire,Hébergement,Village de vacances,True,True,True
2010,2010,Ponton de Pêche de Dordives,DORDIVES,45680,Centre - Val de Loire,Loiret,Loisir,Sortie nature,True,True,True
2011,2011,Camping Lou Pantai,LE PRADET,83220,Provence Alpes-Côte d'Azur,Var,Hébergement,Camping,True,True,True
2012,2012,Chambres d'hôtes au chant du Riou,SAINT-MICHEL-DE-CHAILLOL,5260,Provence Alpes-Côte d'Azur,Hautes-Alpes,Hébergement,Chambre d'hôtes,True,False,False
2013,2013,Bergerie d'Alivon,ARLES,13123,Provence Alpes-Côte d'Azur,Bouches-du-Rhône,Hébergement;Loisir,Chambre d'hôtes;Meublé de tourisme;Sport de nature,True,True,False
2014,2014,Office de Tourisme d'Arles,ARLES,13200,Provence Alpes-Côte d'Azur,Bouches-du-Rhône,Information touristique,Office de tourisme,True,True,False
2015,2015,La Bastide des Joncas,MARTIGUES,13500,Provence Alpes-Côte d'Azur,Bouches-du-Rhône,Hébergement;Restauration,Restaurant;Village de vacances,True,True,True
2016,2016,Maison du Terroir,ROQUEBRUNE-SUR-ARGENS,83520,Provence Alpes-Côte d'Azur,Var,Visite,Visite d'entreprise,True,True,False
2017,2017,la Béalière,LEMPDES-SUR-ALLAGNON,43410,Auvergne Rhône-Alpes,Haute-Loire,Hébergement,Chambre d'hôtes,True,True,True
2018,2018,Gîte de groupe  refuge Chalet de l'Orgère,VILLARODIN-BOURGET,73500,Auvergne Rhône-Alpes,Savoie,Hébergement,Meublé de tourisme,True,True,True
2019,2019,GITE COMMUNAL JALEYRAC,JALEYRAC,15200,Auvergne Rhône-Alpes,Cantal,Hébergement,Meublé de tourisme,True,True,False
2020,2020,Office de Tourisme Intercommunal Cluses Arve et Montagnes,CLUSES,74300,Auvergne Rhône-Alpes,Haute-Savoie,Information touristique,Office de tourisme,True,True,True
